feature,mean_importance,std_importance
criq,0.1752493701668882,0.06452108803752947
semantic,0.14618286283383025,0.06163702863337438
reyword,0.11140268496145311,0.05595361069168462
reyfig,0.10345940835679801,0.011150732001431797
denomdescr,0.0940798053064031,0.04514462560730441
trog,0.09354426020925087,0.03947041995462039
phonemic,0.08491557964224414,0.031189185417986025
span_back,0.06898694555025273,0.02424869874638173
mmse,0.0622095237790131,0.03185568185408582
span_for,0.059969559193866484,0.033130937558397786
