feature,mean_importance,std_importance
semantic,0.20708620069820194,0.09403508889097884
reyword,0.16267856779056705,0.10188233628157205
criq,0.1518145977082916,0.0663276319478598
reyfig,0.11240166964924476,0.03371350597988351
denomdescr,0.09958375343571226,0.04483988227479444
phonemic,0.06756033382316287,0.014670385409433852
span_for,0.0625547360615523,0.01737903305527681
trog,0.057714549641759996,0.023170835655804137
mmse,0.04097126048947198,0.006746398339371459
span_back,0.03763433070203528,0.014212250559014896
